body|Тег body -- определяет общий вид страницы
table|Тег table -- общие свойства для всех таблиц
.title|Таблица с названием форума
.mainmenu|Главное меню форума (ссылки "Регистрация", "Войти", и т.д.)
.mainmenu li|Пункт главного меню
.announce|Таблица объявлений форума
tr.tablehead td, td.tablehead|Ячейка заголовка большинства таблиц
td.category|Категория на главной странице и в меню
td.forumentry|Форум на главной странице
.copyright|Текст в copyright-сообщении
H1|Тег H1 - текст названия форума
H2|Тег H2 - текст описания форума
H3|Тег H3 - Название форума на главной странице
H4|Тег H4 - Описание форума на главной странице
H5|Тег H5 - Название темы в списке тем в разделе
H6|Тег H6 - Указание текущего местоположения пользователя на форуме (Форум - Раздел - Тема)
.actions|Действия модератора в разделе или теме
.locations|Таблица для указания текущего местоположения
.innertable td|Основная ячейка большинства таблиц
.descr|Комментарии, описания, вспомогательные сообщения
.username|Имена пользователей
.pages|Ссылки на страницы в темах и разделах, разбитых на несколько страниц
.sort|Сообщение о сортировке сообщений в теме
td.topicentry|Ячейка с темой в списке тем в разделе
.postentry|Нечетная ячейка с сообщением в теме
.postentry2|Четная ячейка с сообщением в теме
.sign|Стиль для вывода подписи пользователя
.modcomment|Комментарий модератора к сообщению
blockquote|Цитата 1-ого уровня
.modlinks|Ссылки для выполнения модераторских действий в конце темы/раздела
.moderate|Ссылка "Модерировать" в разделе
.usertable|Список присутствующих пользователей
.offtopic|Оффтопик
code|Тег code -- вывод исходного текста программ
.outertable|Внешний div основной части форума
.innertable|Внутренняя таблица основной части форума
.maintext|Текст для вывода различных сообщений (например, время выполнения скрипта)
.hligh|Выделение слов при поиске
.postlinks|Верхняя часть ссылок при просмотре сообщения в теме ("Профиль" и т.д.)
.postlinks2|Нижняя часть ссылок при просмотре сообщения в теме ("Цитировать" и т.д.)
.online|Стиль надписи "Сейчас на форуме"
.posttable|Таблица, в которую помещаются сообщения на форуме
a.newpm, a.newpm:visited|Ссылка "N новых" для личных сообщений (при их наличии)
a.inverse:link|Инверсная ссылка в обычном состоянии (как правило, ссылка, расположенная в ячейке tablehead)
a.inverse:visited|Посещенная инверсная ссылка
a.inverse:active|Активная инверсная ссылка
a.inverse:hover|Инверсная ссылка при наведении мыши
.menuitem a:link|Ссылка в главном меню в обычном состоянии
.menuitem a:visited|Посещенная ссылка в главном меню
.menuitem a:active|Активная ссылка в главном меню
.menuitem a:hover|Ссылка в главно меню при наведении мышью
a:link|Обычная ссылка в обычном состоянии
a:visited|Посещенная обычная ссылка
a:active|Активная обычная ссылка
a:hover|Обычная ссылка при наведении мышью
a.username:link|Ссылка - имя зарегистрированного пользователя в обычном состоянии
a.username:visited|Ссылка - имя зарегистрированного пользователя (посещенная)
a.username:active|Активная ссылка - имя зарегистрированного пользователя
a.username:hover|Ссылка - имя зарегистрированного пользователя при наведении мышью
textarea|Тег textarea -- многострочная область ввода текста
select|Тег select -- выбор одного из вариантов в списке
input|Тег input -- однострочное поле ввода текста и кнопки
option|Тег option -- варианты в поле выбора select
.photo_nav|Строка предпросмотра уменьшенных фотографий при просмотре одной из них
.nav1|Отображаемая фотография при предпросмотре
.nav2|Текущая фотография
.nav3|Не отображаемая фотография (вместо нее показывается "заглушка")
.calendar_hday|Праздничный день в календаре без новостей
a.calendar_hday|Праздничный день в календаре с новостями
a.calendar_hday:visited|Праздничный день в календаре с новостями (после просмотра)
a.calendar|Обычный день в календаре с новостями
a.calendar:visited|Обычный день в календаре с новостями (после просмотра)
.mn|Заголовок меню в левом столбце
.mf|Нижняя часть меню в левом столбце
